,state_name,state_abbreviation,county_name,county_fips_code,studyyear,unr_16,funr_16,munr_16,unr_20to64,funr_20to64,munr_20to64,flfpr_20to64,flfpr_20to64_under6,flfpr_20to64_6to17,flfpr_20to64_under6_6to17,mlfpr_20to64,pr_f,pr_p,mhi,me,fme,mme,mhi_2018,me_2018,fme_2018,mme_2018,totalpop,onerace,onerace_w,onerace_b,onerace_i,onerace_a,onerace_h,onerace_other,tworaces,hispanic,households,h_under6_bothwork,h_under6_fwork,h_under6_mwork,h_under6_singlem,h_6to17_bothwork,h_6to17_fwork,h_6to17_mwork,h_6to17_singlem,emp_m,memp_m,femp_m,emp_service,memp_service,femp_service,emp_sales,memp_sales,femp_sales,emp_n,memp_n,femp_n,emp_p,memp_p,femp_p,school_age_center_cost,school_age_family_cost,_75csa,_75fccsa,infant_center_cost,toddler_center_cost,preschool_center_cost,_75cinfant,_75ctoddler,_75cpreschool,infant_family_cost,toddler_family_cost,preschool_family_cost,_75fccinfant,_75fcctoddler,_75fccpreschool,pop_size,DollarAdj2018Factor,infant_center_cost_2018_dollars,toddler_center_cost_2018_dollars,preschool_center_cost_2018_dollars,school_age_center_cost_2018_dollars,infant_family_cost_2018_dollars,toddler_family_cost_2018_dollars,preschool_family_cost_2018_dollars,school_age_family_cost_2018_dollars,infant_center_cost_2018_dollars_pct_MHI_2018,toddler_center_cost_2018_dollars_pct_MHI_2018,preschool_center_cost_2018_dollars_pct_MHI_2018,school_age_center_cost_2018_dollars_pct_MHI_2018,infant_family_cost_2018_dollars_pct_MHI_2018,toddler_family_cost_2018_dollars_pct_MHI_2018,preschool_family_cost_2018_dollars_pct_MHI_2018,school_age_family_cost_2018_dollars_pct_MHI_2018
5751,Georgia,GA,Thomas County,13275,2018,8.09,9.17,7.02,7.5,8.6,6.5,69.5,81.7,78.3,76.6,76.0,17.1,20.8,40112.0,28532.0,25706.0,31752.0,40112.0,28532.0,25706.0,31752.0,44730,97.7,60.1,36.4,0.1,0.2,0.0,0.9,2.3,3.7,17352,839,486,5,1328.0,2169,603,174,2704.0,34.0,29.88,38.22,17.72,14.55,20.97,23.61,14.85,32.61,10.13,18.54,1.5,14.53,22.18,6.69,,,,,,,,,,,,,,,,,1-100K,1.0,,,,,,,,,,,,,,,,
30536,Texas,TX,Zavala County,48507,2009,10.5,9.5,11.39,9.7,8.4,10.9,63.3,64.7,82.92,52.7,68.8,31.0,38.3,22964.0,15579.0,11439.0,17301.0,26867.88,18227.43,13383.63,20242.17,11620,98.8,63.8,0.0,0.2,0.4,0.0,34.4,1.2,89.8,3460,213,224,8,575.0,481,470,24,1119.0,18.6,13.49,24.17,32.64,21.42,44.86,22.11,17.13,27.52,15.76,28.93,1.43,10.89,19.03,2.02,71.25,63.8,79.98,72.15,80.2,75.85,72.88,89.28,84.7,81.63,75.43,70.05,66.15,84.38,78.65,74.5,1-100K,1.1700000000000002,4879.368000000001,4614.714,4434.019200000001,4334.85,4589.161200000001,4261.842000000001,4024.5660000000007,3881.5920000000006,18.160599198745867,17.175579167392442,16.5030482494339,16.133948789409512,17.080473785054874,15.86221912558788,14.97909771816757,14.446960459850203
1377,Arkansas,AR,Conway County,5029,2011,9.27,8.47,9.96,9.0,8.6,9.3,62.0,62.4,80.94,70.31,72.9,15.3,21.9,31890.0,24561.0,20693.0,30376.0,35716.8,27508.32,23176.16,34021.12,21164,98.5,85.1,11.9,0.6,0.2,0.0,0.8,1.5,3.6,8137,514,428,0,497.0,1611,497,99,848.0,26.66,16.48,38.23,15.14,8.96,22.17,20.5,11.17,31.11,15.04,27.79,0.55,22.66,35.6,7.94,,,,,,,,,,,,,,,,,1-100K,1.12,,,,,,,,,,,,,,,,
26255,South Dakota,SD,Grant County,46051,2018,0.99,1.43,0.65,0.4,0.0,0.7,75.6,77.7,85.3,70.6,89.4,3.2,7.8,62532.0,32313.0,25719.0,41038.0,62532.0,32313.0,25719.0,41038.0,7217,98.1,94.7,0.2,2.8,0.2,0.0,0.3,1.9,2.2,3212,316,82,0,48.0,646,140,6,231.0,31.86,28.74,36.04,15.39,10.44,22.01,20.88,11.67,33.21,19.16,31.75,2.33,12.7,17.4,6.42,104.28,85.68,125.0,100.0,100.11,100.11,97.6,120.0,120.0,117.0,85.68,85.68,85.68,100.0,100.0,100.0,1-100K,1.0,5205.72,5205.72,5075.2,5422.56,4455.360000000001,4455.360000000001,4455.360000000001,4455.360000000001,8.324889656495875,8.324889656495875,8.116164523763834,8.67165611207062,7.124928036845136,7.124928036845136,7.124928036845136,7.124928036845136
23232,Ohio,OH,Richland County,39139,2009,7.86,7.62,8.08,7.5,7.7,7.2,74.5,72.8,82.47,72.02,72.3,8.2,12.2,42233.0,26279.0,20581.0,32405.0,49412.61,30746.43,24079.77,37913.85,125791,98.2,87.4,9.4,0.3,0.7,0.0,0.5,1.8,1.2,49595,3183,2107,180,2635.0,8296,3022,436,5025.0,25.84,23.22,28.63,17.41,13.62,21.45,25.15,15.2,35.78,7.97,14.04,1.49,23.63,33.91,12.65,81.44,112.44,99.11,121.06,150.56,139.62,128.73,162.93,149.99,137.24,147.34,132.42,134.29,170.39,143.48,147.19,100K-500K,1.17,9160.070399999999,8494.4808,7831.933199999999,4954.8096,8964.1656,8056.432799999999,8170.2036,6840.8496,18.53792058343002,17.190917055383228,15.850069850590767,10.027419316648118,18.141453365851348,16.304406506760113,16.53465299647195,13.84433973433097
20526,New York,NY,Otsego County,36077,2009,7.91,8.12,7.7,6.8,7.1,6.5,75.9,78.8,86.04,79.95,80.0,8.2,15.2,44057.0,21167.0,17797.0,25233.0,51546.69,24765.39,20822.49,29522.61,62086,98.5,94.7,2.0,0.1,1.0,0.0,0.7,1.5,2.3,25271,1324,553,120,826.0,4214,999,496,1643.0,34.33,29.94,38.7,20.58,17.66,23.49,22.88,14.5,31.22,10.17,19.56,0.83,12.03,18.34,5.76,,,,,,,,,,,,,,,,,1-100K,1.1700000000000002,,,,,,,,,,,,,,,,
24934,Pennsylvania,PA,Delaware County,42045,2017,6.78,5.99,7.54,6.4,5.7,7.1,76.2,79.9,80.2,73.2,83.1,7.4,10.4,69839.0,37364.0,31886.0,44616.0,71934.17,38484.92,32842.58,45954.48,563384,97.7,69.7,21.2,0.1,5.5,0.0,1.1,2.3,3.6,204870,17794,6840,566,10470.0,37565,13284,1859,22536.0,42.97,39.68,46.27,17.48,14.54,20.42,23.94,18.66,29.24,6.55,12.51,0.57,9.06,14.61,3.5,170.0,150.0,216.25,160.0,236.88,208.6,190.0,279.25,241.25,223.75,197.5,175.0,165.0,218.75,189.73,180.0,500K-1M,1.03,12687.292800000001,11172.616,10176.4,9105.2,10578.1,9373.0,8837.4,8034.0,17.637365941665834,15.531722962814474,14.146823408124401,12.657684102006044,14.705250647918785,13.029968928535633,12.285399275476452,11.168544795887685
10641,Kansas,KS,Rice County,20159,2013,6.33,7.65,5.27,6.4,7.6,5.4,73.9,75.2,92.34,65.59,86.4,10.5,14.9,45336.0,24378.0,17643.0,31361.0,48962.88,26328.24,19054.44,33869.88,10055,97.3,91.8,0.5,2.0,0.5,0.1,2.4,2.7,10.3,3914,329,126,15,214.0,766,217,48,305.0,31.33,27.79,35.79,17.33,7.39,29.88,17.57,10.2,26.87,16.09,27.08,2.22,17.68,27.53,5.24,73.2,73.2,80.0,76.8,96.0,89.6,80.8,107.6,96.0,93.2,76.8,73.2,73.2,92.4,76.8,76.8,1-100K,1.0799999999999998,5391.36,5031.935999999999,4537.727999999999,4110.911999999999,4313.088,4110.911999999999,4110.911999999999,4110.911999999999,11.011116993118051,10.27704252691018,9.267690135874359,8.395976707252514,8.80889359449444,8.395976707252514,8.395976707252514,8.395976707252514
10421,Kansas,KS,Meade County,20119,2013,3.45,4.04,2.97,2.5,2.3,2.7,75.7,55.4,83.19,53.41,85.6,7.7,9.5,51000.0,29127.0,21346.0,37020.0,55080.0,31457.16,23053.68,39981.6,4486,99.0,89.3,1.4,0.1,0.7,0.0,7.4,1.0,14.4,1714,117,209,0,46.0,404,213,28,128.0,36.81,32.41,42.28,19.18,10.9,29.48,15.8,8.84,24.45,18.09,31.98,0.81,10.12,15.87,2.97,73.2,73.2,80.0,76.8,96.0,89.6,80.8,107.6,96.0,93.2,76.8,73.2,73.2,92.4,76.8,76.8,1-100K,1.08,5391.360000000001,5031.936,4537.728,4110.912,4313.088,4110.912,4110.912,4110.912,9.788235294117648,9.135686274509803,8.23843137254902,7.463529411764706,7.830588235294117,7.463529411764706,7.463529411764706,7.463529411764706
2758,Colorado,CO,Boulder County,8013,2017,5.17,4.65,5.63,4.8,4.4,5.1,76.9,67.7,78.8,64.0,85.3,5.8,13.1,75669.0,33118.0,26561.0,41243.0,77939.07,34111.54,27357.83,42480.29,316782,97.1,88.6,0.9,0.5,4.5,0.1,2.4,2.9,13.8,125026,8773,5239,650,2427.0,20991,8499,1175,7883.0,53.2,54.28,51.98,15.64,11.74,20.03,19.45,14.87,24.61,4.99,8.94,0.54,6.73,10.17,2.85,,,,,,,,,,,,,,,,,100K-500K,1.03,,,,,,,,,,,,,,,,
9889,Kansas,KS,Cheyenne County,20023,2009,0.74,1.02,0.45,0.9,1.2,0.5,77.4,49.1,98.47,97.42,78.8,8.2,11.9,30250.0,19074.0,14225.0,22269.0,35392.5,22316.58,16643.25,26054.73,2769,100.0,96.9,0.0,2.0,1.1,0.0,0.0,0.0,2.1,1368,37,56,0,3.0,274,25,8,48.0,34.3,35.18,33.45,16.55,11.75,21.25,24.91,15.06,34.53,15.44,25.03,6.05,8.8,12.97,4.72,65.8,69.6,76.6,77.8,86.2,78.0,73.0,95.4,85.0,82.6,73.8,69.6,69.6,82.0,77.8,77.8,1-100K,1.17,5244.408,4745.5199999999995,4441.32,4003.2719999999995,4489.991999999999,4234.464,4234.464,4234.464,14.817851239669421,13.408264462809916,12.548760330578512,11.311074380165289,12.686280991735535,11.964297520661157,11.964297520661157,11.964297520661157
12556,Louisiana,LA,Lafourche Parish,22057,2014,6.8,7.33,6.34,6.3,6.6,6.1,64.0,64.5,74.95,73.34,81.8,10.8,14.6,50396.0,32002.0,21439.0,45315.0,53419.76,33922.12,22725.34,48033.9,97235,97.6,79.5,13.3,2.2,0.8,0.0,1.8,2.4,4.2,35329,2293,1593,110,2239.0,5194,2769,184,4911.0,26.45,21.5,32.77,15.78,8.83,24.66,23.35,12.16,37.67,15.43,26.68,1.05,18.99,30.83,3.85,120.0,85.52,125.0,100.0,130.0,125.0,120.0,141.7,135.0,125.0,95.0,95.0,90.0,115.0,100.0,100.0,1-100K,1.06,7165.6,6890.0,6614.400000000001,6614.400000000001,5236.400000000001,5236.400000000001,4960.8,4713.8624,13.413762997063259,12.897849035637748,12.38193507421224,12.38193507421224,9.802365267084689,9.802365267084689,9.28645130565918,8.824192396221923
24943,Pennsylvania,PA,Elk County,42047,2015,5.22,4.7,5.68,4.2,3.1,5.1,74.5,74.7,85.2,64.4,83.4,7.7,8.8,46671.0,30880.0,21741.0,39020.0,49471.26,32732.8,23045.46,41361.2,31370,99.5,98.1,0.5,0.2,0.4,0.0,0.3,0.5,0.7,13244,681,338,36,456.0,2413,546,144,631.0,23.58,19.89,27.76,15.57,9.45,22.48,18.27,10.42,27.15,8.62,15.57,0.77,33.95,44.66,21.84,126.5,113.75,134.94,136.25,135.63,131.25,125.0,149.38,142.5,132.5,126.25,118.75,116.25,137.5,137.5,136.25,1-100K,1.06,7475.9256000000005,7234.5,6890.0,6972.68,6958.900000000001,6545.5,6407.700000000001,6269.900000000001,15.111653917850484,14.623642090377324,13.927278181311733,14.094405519487477,14.066550963124852,13.230914272246148,12.952368708619916,12.67382314499368
13902,Michigan,MI,Ingham County,26065,2018,7.12,6.68,7.54,6.1,5.5,6.7,73.0,72.1,79.9,66.0,79.8,11.8,20.1,50940.0,24527.0,21294.0,28258.0,50940.0,24527.0,21294.0,28258.0,289564,94.4,74.4,11.4,0.4,6.5,0.0,1.7,5.6,7.7,112200,7617,3750,421,5183.0,14530,5639,1115,10729.0,40.54,38.2,42.94,19.39,17.32,21.52,21.85,15.5,28.36,5.47,10.04,0.78,12.75,18.94,6.39,168.93,136.34,200.41,158.22,213.38,213.38,186.71,253.15,253.15,221.51,145.43,141.43,136.34,168.77,164.13,158.22,100K-500K,1.0,11095.76,11095.76,9708.92,8784.36,7562.360000000001,7354.360000000001,7089.68,7089.68,21.78201806046329,21.78201806046329,19.059521005104045,17.24452296819788,14.845622300745978,14.437298782881822,13.917707106399687,13.917707106399687
21899,North Dakota,ND,Adams County,38001,2018,1.3,0.55,1.88,1.2,0.6,1.7,76.6,100.0,56.6,100.0,92.8,5.0,8.3,54875.0,31032.0,26016.0,38250.0,54875.0,31032.0,26016.0,38250.0,2351,99.7,93.1,2.1,1.2,3.3,0.0,0.0,0.3,1.7,1046,79,0,0,16.0,220,129,9,14.0,41.84,43.72,39.48,13.95,7.83,21.59,16.32,8.42,26.2,17.31,29.1,2.58,10.58,10.93,10.15,49.7,45.29,61.62,90.43,142.99,136.6,122.09,152.08,143.39,129.93,102.64,102.64,99.1,114.73,112.97,107.77,1-100K,1.0,7435.4800000000005,7103.2,6348.68,2584.4,5337.28,5337.28,5153.2,2355.08,13.549849658314352,12.944328018223233,11.569348519362187,4.709612756264237,9.726250569476083,9.726250569476083,9.390797266514806,4.291717539863325
23842,Oklahoma,OK,Kingfisher County,40073,2014,3.5,3.7,3.41,3.3,3.7,2.9,74.8,63.0,72.17,30.85,90.7,5.9,6.9,58890.0,32095.0,22302.0,42135.0,62423.4,34020.7,23640.12,44663.1,15202,97.1,86.5,0.4,3.9,0.0,0.1,6.2,2.9,14.1,5737,523,558,9,214.0,1069,689,56,569.0,31.83,29.53,34.66,13.14,5.26,22.85,22.39,11.89,35.32,19.6,32.5,3.72,13.04,20.81,3.46,74.94,77.11,74.94,77.11,156.35,128.06,128.06,156.35,128.06,128.06,111.79,108.41,108.41,111.79,108.41,108.41,1-100K,1.06,8618.012,7058.6672,7058.6672,4130.692800000001,6161.8648,5975.5592,5975.5592,4250.3032,13.805739514348787,11.307726269315673,11.307726269315673,6.617218543046359,9.871081677704195,9.572626931567328,9.572626931567328,6.808830022075056
9441,Iowa,IA,Muscatine County,19139,2012,7.18,8.59,5.92,6.2,7.4,5.2,77.0,78.2,76.6,74.33,86.0,11.7,15.1,51675.0,27919.0,21888.0,36084.0,56842.5,30710.9,24076.8,39692.4,42729,98.2,93.1,1.3,0.3,1.0,0.0,2.5,1.8,15.8,16540,1547,374,69,1213.0,3990,787,166,1792.0,26.09,22.28,30.5,17.68,11.21,25.17,20.04,12.41,28.87,8.72,15.9,0.41,27.46,38.2,15.04,,,,,,,,,,,,,,,,,1-100K,1.1,,,,,,,,,,,,,,,,
29297,Texas,TX,Lampasas County,48281,2013,8.79,10.43,7.38,7.0,8.7,5.6,67.9,58.8,67.24,49.95,84.3,11.1,16.9,49277.0,27069.0,20604.0,32012.0,53219.16,29234.52,22252.32,34572.96,19937,97.9,88.4,4.8,1.3,0.9,0.0,2.4,2.1,18.0,7289,438,436,10,365.0,1520,790,0,775.0,28.43,24.65,32.97,19.24,12.45,27.4,20.26,10.92,31.48,19.99,34.81,2.2,12.08,17.18,5.95,99.0,90.25,113.45,104.1,117.4,110.3,104.8,133.1,125.5,119.65,104.25,100.85,98.0,119.05,115.45,112.4,1-100K,1.08,6593.184,6194.447999999999,5885.568,5559.84,5854.68,5663.736,5503.68,5068.4400000000005,12.388741197719016,11.639507275199382,11.059114800008118,10.447064553442782,11.001075552488992,10.642287476916207,10.341538648862553,9.52371288836577
6373,Idaho,ID,Latah County,16057,2013,8.51,6.43,10.35,7.5,5.6,9.1,75.0,62.3,73.88,64.3,78.1,8.6,20.4,41735.0,19519.0,16304.0,21886.0,45073.8,21080.52,17608.32,23636.88,37636,96.8,93.5,0.5,0.4,2.0,0.0,0.4,3.2,3.7,14941,1017,726,26,277.0,2334,924,121,646.0,39.87,38.92,40.9,18.73,15.43,22.29,23.23,14.83,32.26,9.44,17.09,1.22,8.73,13.74,3.34,104.75,99.47,126.61,115.37,148.9,138.98,122.22,173.55,161.98,141.44,113.13,108.56,103.64,128.31,124.05,119.92,1-100K,1.08,8362.224,7805.1168,6863.8752,5882.76,6353.380800000001,6096.729600000001,5820.4224,5586.2352,18.55229423745058,17.316305259374623,15.228081945609201,13.051395711033903,14.095507367916618,13.526105187492513,12.913094524979035,12.393530609799926
16337,Missouri,MO,Atchison County,29005,2011,4.75,5.59,4.06,4.2,4.2,4.2,74.3,78.7,89.52,63.28,88.2,7.1,11.1,44330.0,27559.0,17428.0,34328.0,49649.6,30866.08,19519.36,38447.36,5742,99.0,96.6,1.4,0.5,0.0,0.0,0.4,1.0,0.8,2447,212,75,0,48.0,431,78,13,99.0,31.27,32.13,30.21,17.62,11.84,24.72,21.4,11.21,33.95,13.44,22.82,1.89,16.27,22.0,9.22,,,,,,,,,,,,,,,,,1-100K,1.1199999999999999,,,,,,,,,,,,,,,,
15050,Minnesota,MN,Olmsted County,27109,2011,4.21,3.11,5.27,3.8,2.9,4.8,82.3,76.4,88.34,78.71,88.6,4.8,8.1,66202.0,35862.0,31654.0,40981.0,74146.24,40165.44,35452.48,45898.72,142934,98.0,87.1,4.6,0.2,5.2,0.0,0.7,2.0,4.1,56601,6751,2421,403,2305.0,12571,3679,601,3949.0,47.81,45.43,50.21,16.15,13.31,19.0,20.36,14.71,26.04,6.63,12.38,0.86,9.04,14.17,3.9,201.0,120.0,220.0,130.0,305.0,260.0,230.0,327.0,281.0,246.0,145.0,135.0,125.0,155.0,150.0,140.0,100K-500K,1.12,17763.2,15142.400000000001,13395.2,11706.240000000002,8444.800000000001,7862.400000000001,7280.000000000001,6988.800000000001,23.95698015165705,20.422343735838798,18.065919458626627,15.788042657321533,11.389384006525484,10.60390924745476,9.818434488384037,9.425697108848675
30823,Utah,UT,Wasatch County,49051,2010,4.03,4.47,3.71,3.9,4.3,3.6,67.6,66.9,74.94,68.6,93.5,5.6,6.1,65204.0,24234.0,16839.0,31510.0,75636.64,28111.44,19533.24,36551.6,22176,97.8,95.3,0.5,0.3,0.6,0.1,1.1,2.2,11.5,7154,1276,959,32,210.0,2490,1518,135,463.0,36.56,35.46,38.07,15.59,13.24,18.83,24.78,13.34,40.53,12.48,21.55,0.0,10.59,16.41,2.57,94.97,94.7,108.83,112.72,156.72,127.93,127.93,189.54,150.5,150.5,120.38,112.14,112.14,148.29,132.94,132.94,1-100K,1.16,9453.3504,7716.7376,7716.7376,5728.590399999999,7261.321599999999,6764.284799999999,6764.284799999999,5712.304,12.498374332863014,10.202380222072266,10.202380222072266,7.573829826391018,9.600269922090668,8.943132323170357,8.943132323170357,7.552297405067174
4850,Georgia,GA,Fannin County,13111,2008,6.25,6.95,5.6,5.37,6.08,4.68,66.69,53.4,90.69,23.11,84.22,13.5,15.1,35618.0,24622.0,18691.0,29695.0,40960.7,28315.3,21494.65,34149.25,22434,98.9,96.3,0.0,0.3,1.4,0.0,1.0,1.1,1.23,10474,622,353,13,326.0,1302,718,4,685.0,25.66,20.43,32.03,12.91,8.75,17.96,21.78,12.86,32.64,17.39,31.04,0.78,22.26,26.92,16.6,,,,,,,,,,,,,,,,,1-100K,1.15,,,,,,,,,,,,,,,,
26872,Tennessee,TN,Coffee County,47031,2008,7.0,7.84,6.34,6.0,7.6,4.7,63.9,62.3,79.94,59.45,82.8,13.8,16.8,39843.0,25075.0,18346.0,31963.0,45819.45,28836.25,21097.9,36757.45,51729,98.5,92.2,3.1,0.3,0.9,0.3,1.7,1.5,3.4,20892,1365,1142,0,1185.0,3218,1821,36,1895.0,28.6,26.61,31.16,15.39,10.31,21.95,21.83,15.78,29.63,10.2,17.66,0.57,23.98,29.64,16.69,38.0,45.0,47.22,52.12,95.0,85.0,85.0,112.81,97.07,97.07,75.0,75.0,75.0,88.6,83.39,83.39,1-100K,1.15,5681.0,5083.0,5083.0,2272.3999999999996,4485.0,4485.0,4485.0,2691.0,12.39866475917978,11.09354215295033,11.09354215295033,4.959465903671912,9.788419546720881,9.788419546720881,9.788419546720881,5.873051728032528
9555,Iowa,IA,Ringgold County,19159,2016,5.27,2.84,7.46,5.4,2.8,7.8,76.1,89.4,85.5,98.1,85.6,9.7,11.0,46927.0,27585.0,23581.0,31456.0,49273.35,28964.25,24760.05,33028.8,5054,99.3,97.2,0.2,0.4,0.4,0.0,1.1,0.7,2.1,2024,256,19,9,57.0,501,55,19,149.0,32.26,27.41,37.37,19.71,9.44,30.54,17.29,13.24,21.56,14.92,26.85,2.34,15.82,23.06,8.2,,,,,,,,,,,,,,,,,1-100K,1.05,,,,,,,,,,,,,,,,
2174,California,CA,Humboldt County,6023,2016,9.46,8.46,10.4,8.2,6.7,9.5,68.8,59.2,77.8,68.8,73.2,11.2,21.0,42685.0,22316.0,19866.0,26136.0,44819.25,23431.8,20859.3,27442.8,135182,94.0,81.2,1.2,5.1,2.8,0.2,3.5,6.0,10.7,53689,2459,1945,300,2330.0,5904,2483,723,4733.0,33.61,29.91,37.52,23.41,19.2,27.83,23.82,17.19,30.79,10.15,18.71,1.14,9.01,14.99,2.72,159.97,142.92,190.81,158.35,262.14,177.54,177.54,325.01,205.84,205.84,172.14,154.19,154.19,203.37,183.24,183.24,100K-500K,1.05,14312.844,9693.684000000001,9693.684000000001,8734.362000000001,9398.844,8418.774000000001,8418.774000000001,7803.432,31.934590605599155,21.628394049431886,21.628394049431886,19.487970012885093,20.970551716059504,18.783835070867987,18.783835070867987,17.410893756588965
1815,Arkansas,AR,Pike County,5109,2009,7.01,5.38,8.28,6.6,4.2,8.5,63.6,59.0,75.0,63.93,79.6,13.9,17.9,33024.0,22251.0,18891.0,27311.0,38638.08,26033.67,22102.47,31953.87,10763,99.6,89.3,3.9,1.4,0.5,0.0,4.7,0.4,5.4,4345,239,248,0,199.0,812,401,15,326.0,21.72,10.93,35.25,15.73,9.86,23.08,17.05,8.55,27.72,22.54,39.78,0.91,22.96,30.87,13.04,,,,,,,,,,,,,,,,,1-100K,1.1700000000000002,,,,,,,,,,,,,,,,
32721,Washington,WA,Lincoln County,53043,2010,5.19,2.51,7.48,5.4,2.5,7.9,71.3,71.6,85.66,27.35,83.8,7.1,12.1,45582.0,26966.0,21600.0,33423.0,52875.12,31280.56,25056.0,38770.68,10533,98.1,94.1,0.5,1.9,0.3,0.0,1.3,1.9,2.0,4649,279,220,26,76.0,735,306,139,255.0,37.07,37.42,36.68,19.12,12.22,26.79,20.37,10.96,30.81,13.59,24.44,1.55,9.85,14.96,4.18,108.69,95.31,126.14,110.61,244.62,178.38,165.69,283.88,207.02,192.29,157.38,146.31,131.31,182.65,169.79,152.38,1-100K,1.1600000000000001,14755.478400000002,10759.881600000002,9994.4208,6556.180800000001,9493.161600000001,8825.4192,7920.619200000001,5749.099200000001,27.906278794260896,20.349611688824538,18.901934974331972,12.399368171646703,17.95392918257207,16.69106226141898,14.979860471238649,10.872976174805844
