filter,id,slug,title,href,content_type,content_slug,property_name
Locations,616b23805ea2a492a01ad05b,coruscant,Coruscant,https://www.starwars.com/films/star-wars-episode-iii-revenge-of-the-sith,films,star-wars-episode-iii-revenge-of-the-sith,Star Wars: Revenge of the Sith (Episode III)
Locations,616b23805ea2a492a01ad05b,coruscant,Coruscant,https://www.starwars.com/series/star-wars-the-clone-wars,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
Locations,616b23805ea2a492a01ad05b,coruscant,Coruscant,https://www.starwars.com/series/obi-wan-kenobi,series,obi-wan-kenobi,Obi-Wan Kenobi
Locations,616b23805ea2a492a01ad05b,coruscant,Coruscant,https://www.starwars.com/series/star-wars-the-bad-batch,series,star-wars-the-bad-batch,Star Wars: The Bad Batch
Locations,616b23805ea2a492a01ad05b,coruscant,Coruscant,https://www.starwars.com/series/andor,series,andor,Andor
Locations,616b23805ea2a492a01ad05b,coruscant,Coruscant,https://www.starwars.com/series/tales-of-the-jedi,series,tales-of-the-jedi,Tales of the Jedi
Locations,616b23805ea2a492a01ad05b,coruscant,Coruscant,https://www.starwars.com/series/star-wars-ahsoka,series,star-wars-ahsoka,Ahsoka
Locations,616b23805ea2a492a01ad05b,coruscant,Coruscant,https://www.starwars.com/series/the-acolyte,series,the-acolyte,The Acolyte
Locations,616b2c6a4b65d492a01ad05b,coruscant-senate-building,Coruscant Senate Building,https://www.starwars.com/films/star-wars-episode-ii-attack-of-the-clones,films,star-wars-episode-ii-attack-of-the-clones,Star Wars: Attack of the Clones (Episode II)
Locations,616b2c6a4b65d492a01ad05b,coruscant-senate-building,Coruscant Senate Building,https://www.starwars.com/films/star-wars-episode-i-the-phantom-menace,films,star-wars-episode-i-the-phantom-menace,Star Wars: The Phantom Menace (Episode I)
Locations,616b2c6a4b65d492a01ad05b,coruscant-senate-building,Coruscant Senate Building,https://www.starwars.com/films/star-wars-episode-iii-revenge-of-the-sith,films,star-wars-episode-iii-revenge-of-the-sith,Star Wars: Revenge of the Sith (Episode III)
