filter,id,slug,title,href,content_type,content_slug,property_name
Droids,616b26b24ae1d492a01ad05b,sith-probe-droid,Sith Probe Droid,https://www.starwars.com/films/star-wars-episode-i-the-phantom-menace,films,star-wars-episode-i-the-phantom-menace,Star Wars: The Phantom Menace (Episode I)
Droids,616b2d35a3f01492a01ad05b,smelter-droid,Smelter Droid,https://www.starwars.com/films/star-wars-episode-i-the-phantom-menace,films,star-wars-episode-i-the-phantom-menace,Star Wars: The Phantom Menace (Episode I)
Droids,616b2d35a3f01492a01ad05b,smelter-droid,Smelter Droid,https://www.starwars.com/films/star-wars-episode-vi-return-of-the-jedi,films,star-wars-episode-vi-return-of-the-jedi,Star Wars: Return of the Jedi (Episode VI)
Droids,616b2d35a3f01492a01ad05b,smelter-droid,Smelter Droid,https://www.starwars.com/series/star-wars-the-clone-wars,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
Droids,616b26b3dc1fa492a01ad05b,sniper-droid,Sniper Droid,https://www.starwars.com/series/star-wars-the-clone-wars,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
Droids,616b3546354bc492a01ad05b,star-navigator-droid,Star Navigator Droid,https://www.starwars.com/series/star-wars-ahsoka,series,star-wars-ahsoka,Ahsoka
Droids,616b26b72b16a492a01ad05b,super-battle-droid,Super Battle Droid,https://www.starwars.com/films/star-wars-episode-ii-attack-of-the-clones,films,star-wars-episode-ii-attack-of-the-clones,Star Wars: Attack of the Clones (Episode II)
Droids,616b26b72b16a492a01ad05b,super-battle-droid,Super Battle Droid,https://www.starwars.com/films/star-wars-episode-iii-revenge-of-the-sith,films,star-wars-episode-iii-revenge-of-the-sith,Star Wars: Revenge of the Sith (Episode III)
Droids,616b26b72b16a492a01ad05b,super-battle-droid,Super Battle Droid,https://www.starwars.com/series/star-wars-the-clone-wars,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
Droids,616b26b72b16a492a01ad05b,super-battle-droid,Super Battle Droid,https://www.starwars.com/series/star-wars-resistance,series,star-wars-resistance,Star Wars Resistance
Droids,616b2cf0241e2492a01ad05b,super-battle-droid-rocket-trooper,Super battle droid rocket trooper,https://www.starwars.com/series/star-wars-the-clone-wars,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
Droids,616b26be523c4492a01ad05b,super-tactical-droid,Super Tactical Droid,https://www.starwars.com/series/star-wars-the-clone-wars,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
Droids,616b26be523c4492a01ad05b,super-tactical-droid,Super Tactical Droid,https://www.starwars.com/series/star-wars-rebels,series,star-wars-rebels,Star Wars Rebels
Droids,616b2cf918816492a01ad05b,t-series-tactical-droid,T-series Tactical Droid,https://www.starwars.com/series/star-wars-the-clone-wars,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
Droids,616b382a17c21492a01ad05b,tantiss-medical-droid,Tantiss medical droid,https://www.starwars.com/series/star-wars-the-bad-batch,series,star-wars-the-bad-batch,Star Wars: The Bad Batch
Droids,616b3122b0682492a01ad05b,transport-ticketing-droid,Transport ticketing droid,https://www.starwars.com/series/star-wars-resistance,series,star-wars-resistance,Star Wars Resistance
Droids,616b2cee30891492a01ad05b,tt-8l-y7,TT-8L/Y7,https://www.starwars.com/films/star-wars-episode-vi-return-of-the-jedi,films,star-wars-episode-vi-return-of-the-jedi,Star Wars: Return of the Jedi (Episode VI)
Droids,616b2cee30891492a01ad05b,tt-8l-y7,TT-8L/Y7,https://www.starwars.com/series/star-wars-the-clone-wars,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
Droids,616b32562e1f9492a01ad05b,type-ii-loadlifter,Type II Loadlifter,https://www.starwars.com/series/star-wars-the-clone-wars,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
Droids,616b302bdc1b7492a01ad05b,viper-probe-droid,Viper probe droid,https://www.starwars.com/films/solo,films,solo,Solo: A Star Wars Story
Droids,616b26d5a1374492a01ad05b,vulture-droid-droid-starfighter,Vulture Droid (Droid Starfighter),https://www.starwars.com/films/star-wars-episode-iii-revenge-of-the-sith,films,star-wars-episode-iii-revenge-of-the-sith,Star Wars: Revenge of the Sith (Episode III)
Droids,616b26d5a1374492a01ad05b,vulture-droid-droid-starfighter,Vulture Droid (Droid Starfighter),https://www.starwars.com/films/star-wars-episode-i-the-phantom-menace,films,star-wars-episode-i-the-phantom-menace,Star Wars: The Phantom Menace (Episode I)
Droids,616b26d5a1374492a01ad05b,vulture-droid-droid-starfighter,Vulture Droid (Droid Starfighter),https://www.starwars.com/series/star-wars-the-clone-wars,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
Droids,616b2b3f6ad89492a01ad05b,wed-treadwell-droid,WED Treadwell Droid,https://www.starwars.com/films/star-wars-episode-ii-attack-of-the-clones,films,star-wars-episode-ii-attack-of-the-clones,Star Wars: Attack of the Clones (Episode II)
Droids,616b2b3f6ad89492a01ad05b,wed-treadwell-droid,WED Treadwell Droid,https://www.starwars.com/films/star-wars-episode-vi-return-of-the-jedi,films,star-wars-episode-vi-return-of-the-jedi,Star Wars: Return of the Jedi (Episode VI)
Droids,616b2b3f6ad89492a01ad05b,wed-treadwell-droid,WED Treadwell Droid,https://www.starwars.com/films/star-wars-episode-iv-a-new-hope,films,star-wars-episode-iv-a-new-hope,Star Wars: A New Hope (Episode IV)
Droids,616b2b3f6ad89492a01ad05b,wed-treadwell-droid,WED Treadwell Droid,https://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back,films,star-wars-episode-v-the-empire-strikes-back,Star Wars: The Empire Strikes Back (Episode V)
Droids,616b2b3f6ad89492a01ad05b,wed-treadwell-droid,WED Treadwell Droid,https://www.starwars.com/series/the-book-of-boba-fett,series,the-book-of-boba-fett,The Book of Boba Fett
Droids,616b2b3f6ad89492a01ad05b,wed-treadwell-droid,WED Treadwell Droid,https://www.starwars.com/series/star-wars-the-clone-wars,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
Locations,616b29d90b3c1492a01ad05b,79-s,79's,https://www.starwars.com/series/star-wars-the-bad-batch,series,star-wars-the-bad-batch,Star Wars: The Bad Batch
Locations,616b29d90b3c1492a01ad05b,79-s,79's,https://www.starwars.com/series/star-wars-the-clone-wars,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
Locations,616b22be52e5e492a01ad05b,abafar,Abafar,https://www.starwars.com/series/star-wars-the-clone-wars,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
Locations,616b31ea2dec9492a01ad05b,aeos-prime,Aeos Prime,https://www.starwars.com/series/star-wars-resistance,series,star-wars-resistance,Star Wars Resistance
Locations,616b2e446953d492a01ad05b,agamar,Agamar,https://www.starwars.com/series/star-wars-rebels,series,star-wars-rebels,Star Wars Rebels
Locations,616b2f5352a9f492a01ad05b,ahch-to,Ahch-To,https://www.starwars.com/films/star-wars-episode-viii-the-last-jedi,films,star-wars-episode-viii-the-last-jedi,Star Wars: The Last Jedi (Episode VIII)
Locations,616b2f5caad3d492a01ad05b,ahch-to-jedi-temple,Ahch-To Jedi Temple,https://www.starwars.com/films/star-wars-episode-viii-the-last-jedi,films,star-wars-episode-viii-the-last-jedi,Star Wars: The Last Jedi (Episode VIII)
Locations,616b2f8c20ff5492a01ad05b,ahch-to-mirror-cave,Ahch-To Mirror Cave,https://www.starwars.com/films/star-wars-episode-viii-the-last-jedi,films,star-wars-episode-viii-the-last-jedi,Star Wars: The Last Jedi (Episode VIII)
Locations,616b31d5b35e7492a01ad05b,ajan-kloss,Ajan Kloss,https://www.starwars.com/films/star-wars-episode-ix-the-rise-of-skywalker,films,star-wars-episode-ix-the-rise-of-skywalker,Star Wars: The Rise of Skywalker (Episode IX)
Locations,616b31cf9dca2492a01ad05b,ajan-kloss-resistance-base,Ajan Kloss Resistance Base,https://www.starwars.com/films/star-wars-episode-ix-the-rise-of-skywalker,films,star-wars-episode-ix-the-rise-of-skywalker,Star Wars: The Rise of Skywalker (Episode IX)
Locations,616b33e91e60a492a01ad05b,aldera-spaceport,Aldera spaceport,https://www.starwars.com/series/obi-wan-kenobi,series,obi-wan-kenobi,Obi-Wan Kenobi
Locations,616b2317f903c492a01ad05b,alderaan,Alderaan,https://www.starwars.com/films/star-wars-episode-iv-a-new-hope,films,star-wars-episode-iv-a-new-hope,Star Wars: A New Hope (Episode IV)
Locations,616b2317f903c492a01ad05b,alderaan,Alderaan,https://www.starwars.com/films/star-wars-episode-iii-revenge-of-the-sith,films,star-wars-episode-iii-revenge-of-the-sith,Star Wars: Revenge of the Sith (Episode III)
Locations,616b2317f903c492a01ad05b,alderaan,Alderaan,https://www.starwars.com/series/obi-wan-kenobi,series,obi-wan-kenobi,Obi-Wan Kenobi
Locations,616b2317f903c492a01ad05b,alderaan,Alderaan,https://www.starwars.com/series/star-wars-the-clone-wars,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
Locations,616b343c8808e492a01ad05b,aldhani,Aldhani,https://www.starwars.com/series/andor,series,andor,Andor
Locations,616b22df6507e492a01ad05b,aleen,Aleen,https://www.starwars.com/series/star-wars-the-clone-wars,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
Locations,616b33a353ea9492a01ad05b,anchorhead,Anchorhead,https://www.starwars.com/series/the-book-of-boba-fett,series,the-book-of-boba-fett,The Book of Boba Fett
Locations,616b33df385fa492a01ad05b,anchorhead-general-store,Anchorhead general store,https://www.starwars.com/series/obi-wan-kenobi,series,obi-wan-kenobi,Obi-Wan Kenobi
Locations,616b355fe7e13492a01ad05b,arcana,Arcana,https://www.starwars.com/series/star-wars-ahsoka,series,star-wars-ahsoka,Ahsoka
Locations,616b2edc9886b492a01ad05b,archeon-nebula,Archeon Nebula,https://www.starwars.com/series/star-wars-rebels,series,star-wars-rebels,Star Wars Rebels
Locations,616b32b1c8cb0492a01ad05b,armorer-s-workshop,Armorer's workshop,https://www.starwars.com/series/the-mandalorian,series,the-mandalorian,The Mandalorian
Locations,616b32b51b51c492a01ad05b,arvala-7,Arvala-7,https://www.starwars.com/series/the-mandalorian,series,the-mandalorian,The Mandalorian
Locations,616b31900ea43492a01ad05b,ashas-ree,Ashas Ree ,https://www.starwars.com/series/star-wars-resistance,series,star-wars-resistance,Star Wars Resistance
Locations,616b319904ca0492a01ad05b,ashas-ree-temple-of-the-force,Ashas Ree Temple of the Force,https://www.starwars.com/series/star-wars-resistance,series,star-wars-resistance,Star Wars Resistance
Locations,616b2d5a94048492a01ad05b,asteroid-belt-gas-refinery,Asteroid Belt Gas Refinery,https://www.starwars.com/series/star-wars-rebels,series,star-wars-rebels,Star Wars Rebels
Locations,616b29c0fad94492a01ad05b,asteroid-field,Asteroid Field,https://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back,films,star-wars-episode-v-the-empire-strikes-back,Star Wars: The Empire Strikes Back (Episode V)
Locations,616b29c0fad94492a01ad05b,asteroid-field,Asteroid Field,https://www.starwars.com/films/star-wars-episode-ii-attack-of-the-clones,films,star-wars-episode-ii-attack-of-the-clones,Star Wars: Attack of the Clones (Episode II)
Locations,616b29c0fad94492a01ad05b,asteroid-field,Asteroid Field,https://www.starwars.com/series/star-wars-the-clone-wars,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
Locations,616b29c0fad94492a01ad05b,asteroid-field,Asteroid Field,https://www.starwars.com/series/star-wars-rebels,series,star-wars-rebels,Star Wars Rebels
Locations,616b2d804b85a492a01ad05b,atollon,Atollon,https://www.starwars.com/series/star-wars-rebels,series,star-wars-rebels,Star Wars Rebels
Locations,616b30b117c81492a01ad05b,aunt-z-s-tavern,Aunt Z's Tavern,https://www.starwars.com/series/star-wars-resistance,series,star-wars-resistance,Star Wars Resistance
Locations,616b34aa620cc492a01ad05b,aynaboni,Aynaboni,https://www.starwars.com/series/star-wars-the-bad-batch,series,star-wars-the-bad-batch,Star Wars: The Bad Batch
Locations,616b322b2a0fd492a01ad05b,babu-frik-s-workshop,Babu Frik’s workshop,https://www.starwars.com/films/star-wars-episode-ix-the-rise-of-skywalker,films,star-wars-episode-ix-the-rise-of-skywalker,Star Wars: The Rise of Skywalker (Episode IX)
Locations,616b2d6dac039492a01ad05b,bahryn,Bahryn,https://www.starwars.com/series/star-wars-rebels,series,star-wars-rebels,Star Wars Rebels
Locations,616b34fee7455492a01ad05b,balmorra,Balmorra,https://www.starwars.com/series/star-wars-the-bad-batch,series,star-wars-the-bad-batch,Star Wars: The Bad Batch
Locations,616b231f96b58492a01ad05b,balnab,Balnab,https://www.starwars.com/series/star-wars-the-clone-wars,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
Locations,616b29da89cf1492a01ad05b,bardotta,Bardotta,https://www.starwars.com/series/star-wars-the-clone-wars,series,star-wars-the-clone-wars,Star Wars: The Clone Wars
Locations,616b33dd20a4c492a01ad05b,barren-moon,barren moon,https://www.starwars.com/series/obi-wan-kenobi,series,obi-wan-kenobi,Obi-Wan Kenobi
