uuid_character,character_name,appearance,figure_collection_name,accessory_count,exclusive,joint_count,msrp,released,scale_inches,variations recorded,year_imprinted,currency,appearance_type,appearance_name,appearance_year,appearance_link,character_detail_link
cc1a15dd3b0e5e5a3fd25a404fae9303,Clone Trooper,Revenge Of The Sith,Phase II Clone Trooper 4-Pack (501st),0.0,Fan Channel,0.0,59.99,2024.0,3.75,No,,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=30714
5ff51c0f17420340337cd9f2227008e9,Clone Trooper,Revenge Of The Sith,Phase II Clone Trooper 4-Pack,0.0,Fan Channel,0.0,59.99,2024.0,3.75,No,,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=30715
e008d5581c0c32a4aa498a5e24790ed9,Clone Trooper,Revenge Of The Sith,Phase II Clone Trooper 4-Pack,0.0,Fan Channel,0.0,59.99,2024.0,3.75,No,,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=30716
da53ba72819252642b26c17dfb77bab8,Clone Trooper,Revenge Of The Sith,Revenge Of The Sith,3.0,No,14.0,5.99,2007.0,3.75,No,2005.0,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=22537
c7902dbad24fd257a01491441bb70881,Clone Trooper,Revenge Of The Sith,Revenge Of The Sith,1.0,No,22.0,22.99,2021.0,6.0,No,,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=27100
09dcd295170ac1387af3ef3510434db3,Clone Trooper,Revenge Of The Sith,2-Pack With Shock Trooper,1.0,Disney,14.0,26.99,2022.0,5.0,No,,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=30486
5f954311162dd2943ba2e11410c23148,Clone Trooper,Revenge Of The Sith,Revenge Of The Sith,0.0,Hasbro Pulse,0.0,9.99,2024.0,3.75,No,,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=30775
7c20591a946b6493c1737f9e881c3256,Clone Trooper,Revenge Of The Sith,Coruscant Landing Platform,4.0,No,14.0,,2008.0,3.75,No,2005.0,,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=56
7605e218a26c5ec01018925afae6aee6,Clone Trooper,Revenge Of The Sith,Battle Of Utapau,4.0,No,14.0,6.99,2006.0,3.75,No,2005.0,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=70
402c3f5515e86ce88e7dcfc8272fb34c,Clone Trooper,Revenge Of The Sith,With Gelagrub,4.0,No,14.0,,2009.0,3.75,No,2005.0,,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=347
5f335d113135529062015b30155de943,Clone Trooper,Revenge Of The Sith,501st Legion,3.0,No,14.0,9.99,2012.0,3.75,No,2011.0,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=1084
b5ad84b803f0cb0a8ef601526dbc7b5e,Clone Trooper,Revenge Of The Sith,Revenge Of The Sith,4.0,No,12.0,,2012.0,3.75,No,2005.0,,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=1042
56e87ee79b8d232163fe7bd71812df8b,Clone Trooper,Revenge Of The Sith,With BARC Speeder,6.0,No,14.0,,2012.0,3.75,No,2011.0,,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=1045
0375be1a65c05451c7b6efbdb5d70c54,Clone Trooper,Revenge Of The Sith,Revenge Of The Sith,1.0,No,14.0,7.99,2010.0,3.75,No Stripes On Helmet,2005.0,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=676
ec009bcde0ad83c6b6d1d356bc778c5f,Clone Trooper,Revenge Of The Sith,212th Battalion,3.0,No,14.0,7.99,2011.0,3.75,No,2005.0,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=678
3b6493206343263bcf48c5a6cab9d0d6,Clone Trooper,Revenge Of The Sith,Quick-Draw Attack!,3.0,No,13.0,,2005.0,3.75,No,2004.0,,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=1586
590bfb28814ed8ec00093ee79ef95e37,Clone Trooper,Revenge Of The Sith,Super Articulated!,2.0,No,14.0,,2005.0,3.75,No,2004.0,,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=1609
08bbf1b81aa503b3fd2ce710a5d01691,Clone Trooper,Revenge Of The Sith,Mission Series MS04: Utapau,1.0,No,5.0,,2013.0,3.75,No,2013.0,,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=2010
469b72e72fbfffd1ee4953f36cc2b3c4,Clone Trooper,Revenge Of The Sith,Mission Series MS02: Coruscant,1.0,No,5.0,,2013.0,3.75,No,2013.0,,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=2007
1a034932417d3acc0d1e6ea643217e34,Clone Trooper,Revenge Of The Sith,Clone Attack On Coruscant,2.0,No,12.0,,2005.0,3.75,No,2005.0,,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=1664
f17eed421cd377cac272ea53526b108f,Clone Trooper,Revenge Of The Sith,Clone Trooper to Stormtrooper Set 1,5.0,No,14.0,,2005.0,3.75,No,2005.0,,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=1653
6647fef983587778de1133d2161a43cc,Clone Trooper,Revenge Of The Sith,Clone Trooper to Stormtrooper Set 2,6.0,No,14.0,,2005.0,3.75,No,2005.0,,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=1656
01a840dd538f69e77b6840e081739c6a,Clone Trooper,Revenge Of The Sith,Clone Trooper 3-pack,0.0,No,4.0,,2005.0,3.75,No,2003.0,,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=1636
cc24fd36d6ce94049fc1cb290e780bbe,Clone Trooper,Revenge Of The Sith,Clone Trooper 3-pack,0.0,No,4.0,,2005.0,3.75,No,2005.0,,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=1637
7a3f2b5b07833840752e8b64f77fc654,Clone Trooper,Revenge Of The Sith,Clone Trooper 3-pack,0.0,No,4.0,,2005.0,3.75,No,1994.0,,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=1638
18042707ba6d9167f581df68e19e27f7,Clone Trooper,Revenge Of The Sith,Heroes & Villains,2.0,No,14.0,6.99,2006.0,3.75,No,2004.0,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=20363
6d7005810d424fad9962d72aa7c9373c,Clone Trooper,Revenge Of The Sith,Clone Troopers Of Order 66 4-Pack,1.0,Entertainment Earth,22.0,99.99,2016.0,6.0,No,,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=4845
